# This file is generated by MACS version 2.0.10.20130915 (tag:beta)
# Command line: callpeak -t exsa1vsv/accepted_hits.bam -c ck1vsv/accepted_hits.bam -f BAM -g 6400000 --nomodel --shiftsize=75 -n exsavsvmacs2 -p 1e-5
# ARGUMENTS LIST:
# name = exsavsvmacs2
# format = BAM
# ChIP-seq file = ['exsa1vsv/accepted_hits.bam']
# control file = ['ck1vsv/accepted_hits.bam']
# effective genome size = 6.40e+06
# band width = 300
# model fold = [5, 50]
# pvalue cutoff = 1.00e-05
# qvalue will not be calculated and reported as -1 in the final output.
# Larger dataset will be scaled towards smaller dataset.
# Range for calculating regional lambda is: 1000 bps and 10000 bps
# Broad region calling is off

# tag size is determined as 52 bps
# total tags in treatment: 966358
# tags after filtering in treatment: 849287
# maximum duplicate tags at the same position in treatment = 1
# Redundant rate in treatment: 0.12
# total tags in control: 3270839
# tags after filtering in control: 2706270
# maximum duplicate tags at the same position in control = 1
# Redundant rate in control: 0.17
# d = 150
chr	start	end	length	abs_summit	pileup	-log10(pvalue)	fold_enrichment	-log10(qvalue)	name
NC_002516.2	55806	56026	221	55989	58.00	11.02920	2.67617	7.87247	exsavsvmacs2_peak_1
NC_002516.2	58549	58907	359	58718	162.00	82.09151	7.09940	78.19554	exsavsvmacs2_peak_2
NC_002516.2	722186	722394	209	722217	61.00	8.42861	2.24030	5.45311	exsavsvmacs2_peak_3
NC_002516.2	1243429	1243734	306	1243701	53.00	9.67112	2.58309	6.58343	exsavsvmacs2_peak_4
NC_002516.2	1323775	1323924	150	1323889	58.00	11.97437	2.82227	8.77420	exsavsvmacs2_peak_5
NC_002516.2	1507350	1507539	190	1507490	51.00	8.80337	2.48742	5.79132	exsavsvmacs2_peak_6
NC_002516.2	1846940	1847333	394	1847141	143.00	71.27389	6.88825	67.52584	exsavsvmacs2_peak_7
NC_002516.2	1851832	1852203	372	1851966	174.00	99.32455	8.37114	94.88940	exsavsvmacs2_peak_8
NC_002516.2	1852749	1852911	163	1852867	59.00	12.45697	2.87010	9.24147	exsavsvmacs2_peak_9
NC_002516.2	1855432	1856121	690	1855830	137.00	66.16036	6.60124	62.47441	exsavsvmacs2_peak_10
NC_002516.2	1856332	1856987	656	1856768	74.00	19.53537	3.45427	16.17861	exsavsvmacs2_peak_11
NC_002516.2	1857118	1858498	1381	1858081	179.00	104.08327	8.61031	99.42627	exsavsvmacs2_peak_12
NC_002516.2	2192461	2192636	176	2192563	145.00	20.13250	2.38352	16.77242	exsavsvmacs2_peak_13
NC_002516.2	2411334	2411645	312	2411506	119.00	51.51628	5.74021	47.94471	exsavsvmacs2_peak_14
NC_002516.2	2449493	2449689	197	2449590	55.00	10.56999	2.67876	7.43341	exsavsvmacs2_peak_15
NC_002516.2	3532696	3532950	255	3532840	53.00	9.67112	2.58309	6.58343	exsavsvmacs2_peak_16
NC_002516.2	3533860	3534144	285	3533961	59.00	12.45697	2.87010	9.24147	exsavsvmacs2_peak_17
NC_002516.2	3537190	3537366	177	3537280	65.00	12.74465	2.76047	9.52411	exsavsvmacs2_peak_18
NC_002516.2	3539107	3539401	295	3539200	53.00	9.67112	2.58309	6.58343	exsavsvmacs2_peak_19
NC_002516.2	3544784	3544994	211	3544889	65.00	10.39646	2.44018	7.27260	exsavsvmacs2_peak_20
NC_002516.2	3547095	3547299	205	3547191	72.00	14.45689	2.83034	11.18841	exsavsvmacs2_peak_21
NC_002516.2	4304235	4304886	652	4304532	218.00	138.20215	9.91874	131.40527	exsavsvmacs2_peak_22
NC_002516.2	4329799	4330139	341	4329918	69.00	17.65352	3.34845	14.31513	exsavsvmacs2_peak_23
NC_002516.2	4785516	4785688	173	4785619	56.00	9.72678	2.52243	6.63696	exsavsvmacs2_peak_24
NC_002516.2	4793449	4793613	165	4793571	61.00	6.46272	1.97196	3.71738	exsavsvmacs2_peak_25
NC_002516.2	5242383	5242618	236	5242517	49.00	7.61457	2.33166	4.72569	exsavsvmacs2_peak_26
NC_002516.2	5266532	5266714	183	5266670	52.00	7.20022	2.20660	4.35705	exsavsvmacs2_peak_27
NC_002516.2	5268838	5269160	323	5269120	66.00	10.59531	2.44874	7.45577	exsavsvmacs2_peak_28
NC_002516.2	5726613	5726844	232	5726723	49.00	7.60250	2.32962	4.71496	exsavsvmacs2_peak_29
NC_002516.2	5900233	5900387	155	5900291	81.00	10.22549	2.19232	7.10904	exsavsvmacs2_peak_30
NC_002516.2	6040509	6040699	191	6040582	84.00	16.44648	2.82032	13.14068	exsavsvmacs2_peak_31
NC_002516.2	6044171	6044633	463	6044232	75.00	9.63184	2.19787	6.55726	exsavsvmacs2_peak_32
