# This file is generated by MACS version 2.0.10.20130915 (tag:beta)
# Command line: callpeak -t rpon1vsv/accepted_hits.bam -c ck1vsv/accepted_hits.bam -f BAM -g 6400000 --nomodel --shiftsize=75 -n rponvsvmacs2e30 -p 1e-30
# ARGUMENTS LIST:
# name = rponvsvmacs2e30
# format = BAM
# ChIP-seq file = ['rpon1vsv/accepted_hits.bam']
# control file = ['ck1vsv/accepted_hits.bam']
# effective genome size = 6.40e+06
# band width = 300
# model fold = [5, 50]
# pvalue cutoff = 1.00e-30
# qvalue will not be calculated and reported as -1 in the final output.
# Larger dataset will be scaled towards smaller dataset.
# Range for calculating regional lambda is: 1000 bps and 10000 bps
# Broad region calling is off

# tag size is determined as 52 bps
# total tags in treatment: 2863080
# tags after filtering in treatment: 1806050
# maximum duplicate tags at the same position in treatment = 1
# Redundant rate in treatment: 0.37
# total tags in control: 3270839
# tags after filtering in control: 2706270
# maximum duplicate tags at the same position in control = 1
# Redundant rate in control: 0.17
# d = 150
chr	start	end	length	abs_summit	pileup	-log10(pvalue)	fold_enrichment	-log10(qvalue)	name
NC_002516.2	24256	24436	181	24348	287.00	90.26075	4.33728	87.60488	rponvsvmacs2e30_peak_1
NC_002516.2	95899	96082	184	96006	260.00	80.75670	4.27433	78.28159	rponvsvmacs2e30_peak_2
NC_002516.2	128065	128288	224	128168	281.00	106.51469	5.20727	103.44225	rponvsvmacs2e30_peak_3
NC_002516.2	152716	152960	245	152837	300.00	87.13368	4.04519	84.53945	rponvsvmacs2e30_peak_4
NC_002516.2	154243	154518	276	154391	300.00	98.77079	4.53306	95.92661	rponvsvmacs2e30_peak_5
NC_002516.2	159960	160132	173	160061	276.00	71.23218	3.65705	68.91700	rponvsvmacs2e30_peak_6
NC_002516.2	165043	165213	171	165124	290.00	111.37420	5.28553	108.16772	rponvsvmacs2e30_peak_7
NC_002516.2	165820	165978	159	165907	242.00	83.70509	4.71915	81.17780	rponvsvmacs2e30_peak_8
NC_002516.2	188932	189167	236	189044	277.00	121.64475	6.12795	118.08112	rponvsvmacs2e30_peak_9
NC_002516.2	190057	190271	215	190153	261.00	105.94070	5.59023	102.88968	rponvsvmacs2e30_peak_10
NC_002516.2	202597	202764	168	202686	291.00	77.47192	3.75581	75.05258	rponvsvmacs2e30_peak_11
NC_002516.2	236784	236949	166	236868	246.00	87.89232	4.87647	85.28333	rponvsvmacs2e30_peak_12
NC_002516.2	246838	247012	175	246931	243.00	90.99707	5.11369	88.32716	rponvsvmacs2e30_peak_13
NC_002516.2	253184	253342	159	253267	240.00	74.76627	4.27376	72.39104	rponvsvmacs2e30_peak_14
NC_002516.2	270081	270314	234	270211	285.00	98.34200	4.73550	95.50574	rponvsvmacs2e30_peak_15
NC_002516.2	282886	283060	175	282974	265.00	101.97147	5.27940	99.04265	rponvsvmacs2e30_peak_16
NC_002516.2	294213	294410	198	294309	268.00	113.04136	5.84190	109.78468	rponvsvmacs2e30_peak_17
NC_002516.2	322172	322365	194	322253	263.00	91.04787	4.73769	88.37706	rponvsvmacs2e30_peak_18
NC_002516.2	326931	327126	196	327015	279.00	115.26356	5.71549	111.93399	rponvsvmacs2e30_peak_19
NC_002516.2	337884	338157	274	338046	298.00	121.31318	5.63578	117.76745	rponvsvmacs2e30_peak_20
NC_002516.2	343075	343226	152	343126	195.00	57.85760	4.05806	55.72543	rponvsvmacs2e30_peak_21
NC_002516.2	363207	363396	190	363307	271.00	116.12898	5.95104	112.77458	rponvsvmacs2e30_peak_22
NC_002516.2	370348	370565	218	370465	264.00	103.56109	5.38838	100.58316	rponvsvmacs2e30_peak_23
NC_002516.2	371363	371594	232	371469	292.00	99.81236	4.69575	96.94141	rponvsvmacs2e30_peak_24
NC_002516.2	387332	387517	186	387425	274.00	109.96528	5.53129	106.79740	rponvsvmacs2e30_peak_25
NC_002516.2	401435	401702	268	401536	268.00	85.92407	4.40534	83.35574	rponvsvmacs2e30_peak_26
NC_002516.2	424343	424538	196	424457	281.00	97.82554	4.77480	95.00584	rponvsvmacs2e30_peak_27
NC_002516.2	428459	428736	278	428584	300.00	117.45373	5.40169	114.05340	rponvsvmacs2e30_peak_28
NC_002516.2	433725	434013	289	433888	261.00	90.45540	4.74155	87.79610	rponvsvmacs2e30_peak_29
NC_002516.2	454243	454443	201	454362	287.00	90.26075	4.33728	87.60488	rponvsvmacs2e30_peak_30
NC_002516.2	455616	455812	197	455704	288.00	100.40009	4.78518	97.51132	rponvsvmacs2e30_peak_31
NC_002516.2	462373	462598	226	462494	296.00	88.31283	4.13995	85.69722	rponvsvmacs2e30_peak_32
NC_002516.2	468456	468646	191	468548	264.00	96.33510	4.99492	93.55320	rponvsvmacs2e30_peak_33
NC_002516.2	477289	477499	211	477393	252.00	81.85253	4.44969	79.35618	rponvsvmacs2e30_peak_34
NC_002516.2	483024	483200	177	483113	264.00	77.63019	4.07277	75.20525	rponvsvmacs2e30_peak_35
NC_002516.2	496652	496877	226	496759	269.00	118.28461	6.13015	114.84946	rponvsvmacs2e30_peak_36
NC_002516.2	497886	498065	180	497984	243.00	88.58860	4.97454	85.96598	rponvsvmacs2e30_peak_37
NC_002516.2	512837	513005	169	512920	260.00	86.84662	4.57429	84.26076	rponvsvmacs2e30_peak_38
NC_002516.2	540170	540366	197	540272	275.00	100.56247	5.01308	97.67139	rponvsvmacs2e30_peak_39
NC_002516.2	543579	543811	233	543699	293.00	117.53014	5.54153	114.12154	rponvsvmacs2e30_peak_40
NC_002516.2	587039	587254	216	587149	284.00	102.19650	4.93717	99.26008	rponvsvmacs2e30_peak_41
NC_002516.2	635235	635384	150	635324	261.00	60.71421	3.36994	58.54306	rponvsvmacs2e30_peak_42
NC_002516.2	651161	651448	288	651305	299.00	119.35286	5.51586	115.88190	rponvsvmacs2e30_peak_43
