# This file is generated by MACS version 2.0.10.20130915 (tag:beta)
# Command line: callpeak -t gaca1vsv/accepted_hits.bam -c ck1vsv/accepted_hits.bam -f BAM -g 6400000 --nomodel --shiftsize=75 -n gacavsvmacs2e10 -p 1e-10
# ARGUMENTS LIST:
# name = gacavsvmacs2e10
# format = BAM
# ChIP-seq file = ['gaca1vsv/accepted_hits.bam']
# control file = ['ck1vsv/accepted_hits.bam']
# effective genome size = 6.40e+06
# band width = 300
# model fold = [5, 50]
# pvalue cutoff = 1.00e-10
# qvalue will not be calculated and reported as -1 in the final output.
# Larger dataset will be scaled towards smaller dataset.
# Range for calculating regional lambda is: 1000 bps and 10000 bps
# Broad region calling is off

# tag size is determined as 52 bps
# total tags in treatment: 1474049
# tags after filtering in treatment: 1270621
# maximum duplicate tags at the same position in treatment = 1
# Redundant rate in treatment: 0.14
# total tags in control: 3270839
# tags after filtering in control: 2706270
# maximum duplicate tags at the same position in control = 1
# Redundant rate in control: 0.17
# d = 150
chr	start	end	length	abs_summit	pileup	-log10(pvalue)	fold_enrichment	-log10(qvalue)	name
NC_002516.2	49670	49832	163	49768	97.00	17.83359	2.73814	14.17753	gacavsvmacs2e10_peak_1
NC_002516.2	86128	86297	170	86251	82.00	12.10576	2.37992	9.43116	gacavsvmacs2e10_peak_2
NC_002516.2	100551	100700	150	100602	111.00	19.71601	2.70369	15.88433	gacavsvmacs2e10_peak_3
NC_002516.2	157536	157706	171	157669	103.00	17.30171	2.60199	13.72390	gacavsvmacs2e10_peak_4
NC_002516.2	242079	242257	179	242149	92.00	18.01356	2.83984	14.34216	gacavsvmacs2e10_peak_5
NC_002516.2	386994	387152	159	387007	80.00	12.18774	2.41676	9.50273	gacavsvmacs2e10_peak_6
NC_002516.2	561746	561904	159	561846	99.00	20.37815	2.95079	16.49455	gacavsvmacs2e10_peak_7
NC_002516.2	563647	564058	412	563975	95.00	13.98994	2.40184	10.98805	gacavsvmacs2e10_peak_8
NC_002516.2	659597	659753	157	659625	100.00	19.82363	2.87976	15.98051	gacavsvmacs2e10_peak_9
NC_002516.2	735651	735806	156	735695	94.00	18.81056	2.88520	15.05349	gacavsvmacs2e10_peak_10
NC_002516.2	880718	880977	260	880829	83.00	13.11294	2.47353	10.26384	gacavsvmacs2e10_peak_11
NC_002516.2	1140508	1140804	297	1140636	103.00	23.48040	3.17711	19.44695	gacavsvmacs2e10_peak_12
NC_002516.2	1380141	1380290	150	1380157	79.00	13.67659	2.59908	10.71062	gacavsvmacs2e10_peak_13
