# This file is generated by MACS version 2.0.10.20130915 (tag:beta)
# Command line: callpeak -t soxr1vsv/accepted_hits.bam -c ck1vsv/accepted_hits.bam -f BAM -g 6400000 --nomodel --shiftsize=75 -n soxrvsvmacs2 -p 1e-5
# ARGUMENTS LIST:
# name = soxrvsvmacs2
# format = BAM
# ChIP-seq file = ['soxr1vsv/accepted_hits.bam']
# control file = ['ck1vsv/accepted_hits.bam']
# effective genome size = 6.40e+06
# band width = 300
# model fold = [5, 50]
# pvalue cutoff = 1.00e-05
# qvalue will not be calculated and reported as -1 in the final output.
# Larger dataset will be scaled towards smaller dataset.
# Range for calculating regional lambda is: 1000 bps and 10000 bps
# Broad region calling is off

# tag size is determined as 52 bps
# total tags in treatment: 2481036
# tags after filtering in treatment: 2041332
# maximum duplicate tags at the same position in treatment = 1
# Redundant rate in treatment: 0.18
# total tags in control: 3270839
# tags after filtering in control: 2706270
# maximum duplicate tags at the same position in control = 1
# Redundant rate in control: 0.17
# d = 150
chr	start	end	length	abs_summit	pileup	-log10(pvalue)	fold_enrichment	-log10(qvalue)	name
NC_002516.2	815792	815959	168	815877	142.00	12.14600	1.90867	9.09607	soxrvsvmacs2_peak_1
NC_002516.2	828940	829293	354	829150	136.00	5.31363	1.48477	3.02039	soxrvsvmacs2_peak_2
NC_002516.2	891932	892093	162	892015	95.00	9.22021	1.96545	6.28427	soxrvsvmacs2_peak_3
NC_002516.2	905790	905954	165	905875	144.00	13.38625	1.97514	10.30353	soxrvsvmacs2_peak_4
NC_002516.2	2503221	2504394	1174	2503743	300.00	132.04047	6.16251	125.24359	soxrvsvmacs2_peak_5
NC_002516.2	2504961	2505162	202	2505081	87.00	6.89304	1.80166	4.23110	soxrvsvmacs2_peak_6
NC_002516.2	3219764	3220091	328	3220021	115.00	6.92042	1.66568	4.24914	soxrvsvmacs2_peak_7
NC_002516.2	3617377	3617540	164	3617479	270.00	9.89307	1.50120	6.91652	soxrvsvmacs2_peak_8
NC_002516.2	3646741	3646900	160	3646822	111.00	8.46199	1.80360	5.59130	soxrvsvmacs2_peak_9
NC_002516.2	3750202	3750360	159	3750239	94.00	6.68882	1.74136	4.05501	soxrvsvmacs2_peak_10
NC_002516.2	3827883	3828066	184	3828003	96.00	8.68287	1.91006	5.79108	soxrvsvmacs2_peak_11
NC_002516.2	3957640	3957807	168	3957680	102.00	7.43953	1.76592	4.68416	soxrvsvmacs2_peak_12
NC_002516.2	3958417	3958593	177	3958486	107.00	6.67157	1.67804	4.04937	soxrvsvmacs2_peak_13
NC_002516.2	3995768	3996113	346	3995770	93.00	5.47643	1.63273	3.13813	soxrvsvmacs2_peak_14
NC_002516.2	4040565	4040747	183	4040620	103.00	7.98016	1.80642	5.15719	soxrvsvmacs2_peak_15
NC_002516.2	4164934	4166209	1276	4165506	252.00	79.63536	4.33764	76.00075	soxrvsvmacs2_peak_16
NC_002516.2	4246291	4246454	164	4246346	112.00	10.23973	1.93649	7.24692	soxrvsvmacs2_peak_17
NC_002516.2	4633268	4633471	204	4633386	111.00	8.18664	1.78195	5.34284	soxrvsvmacs2_peak_18
NC_002516.2	4700119	4700315	197	4700200	104.00	9.79221	1.95164	6.82179	soxrvsvmacs2_peak_19
NC_002516.2	4701121	4701300	180	4701260	97.00	8.55303	1.89182	5.67481	soxrvsvmacs2_peak_20
NC_002516.2	4702775	4703045	271	4702864	103.00	10.92603	2.05339	7.91391	soxrvsvmacs2_peak_21
NC_002516.2	4703299	4703554	256	4703492	109.00	11.36419	2.04458	8.33897	soxrvsvmacs2_peak_22
NC_002516.2	4703709	4704093	385	4703914	128.00	15.10566	2.18345	11.98748	soxrvsvmacs2_peak_23
NC_002516.2	4704157	4704382	226	4704287	103.00	8.36699	1.83895	5.50355	soxrvsvmacs2_peak_24
NC_002516.2	4704493	4707409	2917	4705729	300.00	125.04261	5.78784	120.99081	soxrvsvmacs2_peak_25
NC_002516.2	4707503	4707800	298	4707620	109.00	10.45924	1.97267	7.45963	soxrvsvmacs2_peak_26
NC_002516.2	4708204	4708439	236	4708351	120.00	11.70401	1.99705	8.66725	soxrvsvmacs2_peak_27
NC_002516.2	4708641	4708805	165	4708693	108.00	9.61975	1.91206	6.65831	soxrvsvmacs2_peak_28
NC_002516.2	4708923	4709196	274	4709180	113.00	7.39943	1.71110	4.65378	soxrvsvmacs2_peak_29
