# This file is generated by MACS version 2.0.10.20130915 (tag:beta)
# Command line: callpeak -t mvfr1vsv/accepted_hits.bam -c ck1vsv/accepted_hits.bam -f BAM -g 6400000 --nomodel --shiftsize=75 -n mvfrvsvmacs2 -p 1e-5
# ARGUMENTS LIST:
# name = mvfrvsvmacs2
# format = BAM
# ChIP-seq file = ['mvfr1vsv/accepted_hits.bam']
# control file = ['ck1vsv/accepted_hits.bam']
# effective genome size = 6.40e+06
# band width = 300
# model fold = [5, 50]
# pvalue cutoff = 1.00e-05
# qvalue will not be calculated and reported as -1 in the final output.
# Larger dataset will be scaled towards smaller dataset.
# Range for calculating regional lambda is: 1000 bps and 10000 bps
# Broad region calling is off

# tag size is determined as 52 bps
# total tags in treatment: 1347717
# tags after filtering in treatment: 1181896
# maximum duplicate tags at the same position in treatment = 1
# Redundant rate in treatment: 0.12
# total tags in control: 3270839
# tags after filtering in control: 2706270
# maximum duplicate tags at the same position in control = 1
# Redundant rate in control: 0.17
# d = 150
chr	start	end	length	abs_summit	pileup	-log10(pvalue)	fold_enrichment	-log10(qvalue)	name
NC_002516.2	45381	45551	171	45429	69.00	8.62773	2.15407	5.27270	mvfrvsvmacs2_peak_1
NC_002516.2	86132	86288	157	86153	63.00	6.56576	1.96350	3.72124	mvfrvsvmacs2_peak_2
NC_002516.2	93576	93766	191	93638	81.00	7.17741	1.87219	4.15234	mvfrvsvmacs2_peak_3
NC_002516.2	156554	156787	234	156651	79.00	10.56066	2.25205	6.97437	mvfrvsvmacs2_peak_4
NC_002516.2	289934	290120	187	289982	73.00	6.63701	1.87666	3.77181	mvfrvsvmacs2_peak_5
NC_002516.2	311037	311186	150	311118	86.00	15.83153	2.71663	12.14016	mvfrvsvmacs2_peak_6
NC_002516.2	374687	375034	348	374806	76.00	10.49307	2.28296	6.91473	mvfrvsvmacs2_peak_7
NC_002516.2	533204	533386	183	533285	73.00	9.66458	2.22688	6.15461	mvfrvsvmacs2_peak_8
NC_002516.2	615710	615917	208	615790	63.00	5.68958	1.84822	3.13745	mvfrvsvmacs2_peak_9
NC_002516.2	659605	659809	205	659729	75.00	10.79517	2.33119	7.19969	mvfrvsvmacs2_peak_10
NC_002516.2	688577	688788	212	688708	60.00	6.50891	1.98983	3.67776	mvfrvsvmacs2_peak_11
NC_002516.2	746391	746624	234	746582	57.00	6.46689	2.02086	3.64682	mvfrvsvmacs2_peak_12
NC_002516.2	1078237	1078470	234	1078327	88.00	19.70745	3.10097	15.97390	mvfrvsvmacs2_peak_13
NC_002516.2	1078676	1078842	167	1078807	63.00	8.43268	2.21068	5.12010	mvfrvsvmacs2_peak_14
NC_002516.2	1086056	1087411	1356	1086200	224.00	104.12738	6.49766	98.74548	mvfrvsvmacs2_peak_15
NC_002516.2	1113892	1114045	154	1113983	65.00	9.33307	2.29960	5.85634	mvfrvsvmacs2_peak_16
NC_002516.2	1140516	1140678	163	1140582	72.00	10.90497	2.38842	7.30647	mvfrvsvmacs2_peak_17
NC_002516.2	2768541	2768696	156	2768552	63.00	8.57648	2.22991	5.23046	mvfrvsvmacs2_peak_18
NC_002516.2	3210927	3211098	172	3210966	65.00	7.94969	2.11987	4.73996	mvfrvsvmacs2_peak_19
NC_002516.2	3506594	3506781	188	3506671	69.00	10.19029	2.34711	6.62742	mvfrvsvmacs2_peak_20
NC_002516.2	3812990	3813170	181	3813047	64.00	7.16655	2.03078	4.14287	mvfrvsvmacs2_peak_21
NC_002516.2	3828516	3828745	230	3828691	65.00	7.94969	2.11987	4.73996	mvfrvsvmacs2_peak_22
NC_002516.2	4498507	4498730	224	4498612	71.00	5.72811	1.78637	3.16711	mvfrvsvmacs2_peak_23
NC_002516.2	4545637	4545807	171	4545683	72.00	6.70617	1.89323	3.82416	mvfrvsvmacs2_peak_24
NC_002516.2	4716090	4716262	173	4716151	64.00	7.94755	2.13262	4.73917	mvfrvsvmacs2_peak_25
NC_002516.2	4869690	4869946	257	4869886	68.00	9.27659	2.24775	5.81657	mvfrvsvmacs2_peak_26
NC_002516.2	5150380	5150572	193	5150436	62.00	7.22389	2.06257	4.18976	mvfrvsvmacs2_peak_27
NC_002516.2	5458062	5458372	311	5458248	62.00	6.93216	2.02351	3.97783	mvfrvsvmacs2_peak_28
NC_002516.2	5485101	5485285	185	5485209	77.00	12.66901	2.51695	9.02594	mvfrvsvmacs2_peak_29
NC_002516.2	5501503	5501656	154	5501542	67.00	8.65984	2.18411	5.29828	mvfrvsvmacs2_peak_30
NC_002516.2	5989758	5989996	239	5989835	80.00	7.06540	1.86798	4.07996	mvfrvsvmacs2_peak_31
NC_002516.2	6204968	6205240	273	6205114	85.00	10.96628	2.22409	7.36336	mvfrvsvmacs2_peak_32
