# This file is generated by MACS version 2.0.10.20130915 (tag:beta)
# Command line: callpeak -t algr1vsv/accepted_hits.bam -c ck1vsv/accepted_hits.bam -f BAM -g 6400000 --nomodel --shiftsize=75 -n algrmacs2e15 -p 1e-15
# ARGUMENTS LIST:
# name = algrmacs2e15
# format = BAM
# ChIP-seq file = ['algr1vsv/accepted_hits.bam']
# control file = ['ck1vsv/accepted_hits.bam']
# effective genome size = 6.40e+06
# band width = 300
# model fold = [5, 50]
# pvalue cutoff = 1.00e-15
# qvalue will not be calculated and reported as -1 in the final output.
# Larger dataset will be scaled towards smaller dataset.
# Range for calculating regional lambda is: 1000 bps and 10000 bps
# Broad region calling is off

# tag size is determined as 52 bps
# total tags in treatment: 5041546
# tags after filtering in treatment: 3708547
# maximum duplicate tags at the same position in treatment = 1
# Redundant rate in treatment: 0.26
# total tags in control: 3270839
# tags after filtering in control: 2706270
# maximum duplicate tags at the same position in control = 1
# Redundant rate in control: 0.17
# d = 150
chr	start	end	length	abs_summit	pileup	-log10(pvalue)	fold_enrichment	-log10(qvalue)	name
NC_002516.2	268	450	183	350	207.25	45.89731	3.23221	41.36760	algrmacs2e15_peak_1
NC_002516.2	298907	299059	153	298994	199.95	38.70374	2.96013	35.15532	algrmacs2e15_peak_2
NC_002516.2	302567	302727	161	302639	200.68	35.84455	2.80596	32.55687	algrmacs2e15_peak_3
NC_002516.2	312218	312403	186	312338	197.76	36.97834	2.88894	33.58612	algrmacs2e15_peak_4
NC_002516.2	351413	351567	155	351471	210.89	26.26951	2.30320	23.51877	algrmacs2e15_peak_5
NC_002516.2	514438	514658	221	514538	215.27	33.07053	2.56384	29.96064	algrmacs2e15_peak_6
NC_002516.2	559568	559763	196	559664	186.08	32.98451	2.77181	29.87845	algrmacs2e15_peak_7
NC_002516.2	615432	615702	271	615545	217.46	43.27333	3.01119	39.23838	algrmacs2e15_peak_8
NC_002516.2	755060	755263	204	755143	204.33	43.32389	3.13476	39.24975	algrmacs2e15_peak_9
NC_002516.2	884259	884414	156	884341	194.11	39.34576	3.02834	35.72815	algrmacs2e15_peak_10
NC_002516.2	894227	894396	170	894305	197.76	37.35702	2.90796	33.94180	algrmacs2e15_peak_11
NC_002516.2	1135174	1135323	150	1135231	186.81	35.49807	2.91508	32.22882	algrmacs2e15_peak_12
NC_002516.2	1224297	1224505	209	1224411	213.08	44.54442	3.10266	40.31339	algrmacs2e15_peak_13
NC_002516.2	1415038	1415210	173	1415128	207.98	42.88516	3.09273	38.89446	algrmacs2e15_peak_14
NC_002516.2	1463415	1463565	151	1463488	180.25	32.70863	2.81314	29.61478	algrmacs2e15_peak_15
NC_002516.2	1560029	1560219	191	1560127	218.19	37.51397	2.73819	34.07693	algrmacs2e15_peak_16
NC_002516.2	1647941	1648104	164	1648016	193.38	38.85695	3.01701	35.28796	algrmacs2e15_peak_17
NC_002516.2	1703193	1703435	243	1703310	218.92	51.71553	3.41344	44.91865	algrmacs2e15_peak_18
NC_002516.2	1711961	1712110	150	1712021	201.41	41.35893	3.06679	37.55106	algrmacs2e15_peak_19
NC_002516.2	1870745	1870936	192	1870849	192.65	38.37036	3.00569	34.84112	algrmacs2e15_peak_20
NC_002516.2	1878714	1878921	208	1878809	213.81	49.04061	3.33415	44.06981	algrmacs2e15_peak_21
NC_002516.2	1972481	1972660	180	1972563	211.62	45.14652	3.15935	40.78421	algrmacs2e15_peak_22
NC_002516.2	2057139	2057337	199	2057225	216.00	45.95762	3.14041	41.41359	algrmacs2e15_peak_23
NC_002516.2	2200815	2200966	152	2200890	207.98	41.58194	3.02863	37.75680	algrmacs2e15_peak_24
NC_002516.2	2493446	2493617	172	2493541	198.49	41.32297	3.09630	37.51950	algrmacs2e15_peak_25
NC_002516.2	2737321	2737532	212	2737415	215.27	50.10459	3.35680	44.90977	algrmacs2e15_peak_26
NC_002516.2	3107823	3107982	160	3107904	194.11	39.24482	3.02309	35.65260	algrmacs2e15_peak_27
NC_002516.2	3219417	3219584	168	3219494	210.89	45.62155	3.19696	41.18828	algrmacs2e15_peak_28
NC_002516.2	3256157	3256340	184	3256215	179.52	31.99494	2.78789	28.94772	algrmacs2e15_peak_29
NC_002516.2	3342905	3343077	173	3342994	184.62	28.06616	2.54279	25.23193	algrmacs2e15_peak_30
NC_002516.2	3373672	3373909	238	3373787	213.08	45.15669	3.13217	40.79118	algrmacs2e15_peak_31
NC_002516.2	3432825	3433100	276	3433034	196.30	40.32999	3.06232	36.63037	algrmacs2e15_peak_32
NC_002516.2	3477927	3478088	162	3478006	210.16	42.01319	3.01019	38.13224	algrmacs2e15_peak_33
NC_002516.2	3498507	3498692	186	3498588	213.81	43.57779	3.06679	39.46605	algrmacs2e15_peak_34
NC_002516.2	3509207	3509366	160	3509290	202.87	40.66920	3.02923	36.93641	algrmacs2e15_peak_35
NC_002516.2	3706861	3707062	202	3706967	218.92	31.82741	2.49911	28.78709	algrmacs2e15_peak_36
NC_002516.2	3853637	3853791	155	3853708	190.46	34.39861	2.81561	31.20639	algrmacs2e15_peak_37
NC_002516.2	3856209	3856370	162	3856290	195.57	39.83678	3.05099	36.17599	algrmacs2e15_peak_38
NC_002516.2	3954667	3954846	180	3954770	189.73	34.75248	2.84675	31.53732	algrmacs2e15_peak_39
NC_002516.2	3955159	3955316	158	3955245	210.89	35.54465	2.71660	32.27320	algrmacs2e15_peak_40
NC_002516.2	3961920	3962134	215	3962025	206.52	45.38063	3.22089	40.96577	algrmacs2e15_peak_41
NC_002516.2	4027850	4028018	169	4027930	193.38	38.34728	2.99047	34.82938	algrmacs2e15_peak_42
NC_002516.2	4059426	4059674	249	4059552	218.92	35.30130	2.64966	32.05550	algrmacs2e15_peak_43
NC_002516.2	4072851	4073072	222	4072948	196.30	38.90440	2.98894	35.33154	algrmacs2e15_peak_44
NC_002516.2	4078914	4079104	191	4079017	213.08	43.61897	3.05834	39.50152	algrmacs2e15_peak_45
NC_002516.2	4094508	4094684	177	4094591	201.41	37.01318	2.85082	33.61683	algrmacs2e15_peak_46
NC_002516.2	4119708	4119867	160	4119797	200.68	31.95872	2.61920	28.91250	algrmacs2e15_peak_47
NC_002516.2	4219556	4219745	190	4219642	217.46	38.11899	2.77588	34.61547	algrmacs2e15_peak_48
NC_002516.2	4268566	4268749	184	4268665	213.81	42.66822	3.02341	38.71768	algrmacs2e15_peak_49
NC_002516.2	4292006	4292214	209	4292119	213.81	43.61897	3.06876	39.50152	algrmacs2e15_peak_50
NC_002516.2	4354326	4354484	159	4354414	201.41	39.54505	2.97571	35.91341	algrmacs2e15_peak_51
NC_002516.2	4466765	4466916	152	4466816	216.00	27.32547	2.30854	24.52176	algrmacs2e15_peak_52
NC_002516.2	4704369	4704523	155	4704452	194.11	27.46252	2.43888	24.65120	algrmacs2e15_peak_53
NC_002516.2	4770092	4770250	159	4770164	207.25	32.77960	2.60307	29.68126	algrmacs2e15_peak_54
NC_002516.2	4814380	4814578	199	4814486	192.65	35.48621	2.85642	32.22882	algrmacs2e15_peak_55
NC_002516.2	4858803	4858957	155	4858873	200.68	32.68405	2.65366	29.60091	algrmacs2e15_peak_56
NC_002516.2	4909345	4909555	211	4909474	209.43	41.79486	3.01267	37.95750	algrmacs2e15_peak_57
