# This file is generated by MACS version 2.0.10.20130915 (tag:beta)
# Command line: callpeak -t 2588vsv1/accepted_hits.bam -c ck1vsv/accepted_hits.bam -f BAM -g 6400000 --nomodel --shiftsize=75 -n 2588vsvmacs2 -p 1e-5
# ARGUMENTS LIST:
# name = 2588vsvmacs2
# format = BAM
# ChIP-seq file = ['2588vsv1/accepted_hits.bam']
# control file = ['ck1vsv/accepted_hits.bam']
# effective genome size = 6.40e+06
# band width = 300
# model fold = [5, 50]
# pvalue cutoff = 1.00e-05
# qvalue will not be calculated and reported as -1 in the final output.
# Larger dataset will be scaled towards smaller dataset.
# Range for calculating regional lambda is: 1000 bps and 10000 bps
# Broad region calling is off

# tag size is determined as 52 bps
# total tags in treatment: 2947862
# tags after filtering in treatment: 2473802
# maximum duplicate tags at the same position in treatment = 1
# Redundant rate in treatment: 0.16
# total tags in control: 3270839
# tags after filtering in control: 2706270
# maximum duplicate tags at the same position in control = 1
# Redundant rate in control: 0.17
# d = 150
chr	start	end	length	abs_summit	pileup	-log10(pvalue)	fold_enrichment	-log10(qvalue)	name
NC_002516.2	104759	104914	156	104838	144.00	10.38277	1.79149	7.22607	2588vsvmacs2_peak_1
NC_002516.2	183342	183555	214	183508	141.00	7.97891	1.65095	4.96871	2588vsvmacs2_peak_2
NC_002516.2	185642	185833	192	185721	181.00	22.73966	2.28607	19.31014	2588vsvmacs2_peak_3
NC_002516.2	494218	494530	313	494389	257.00	66.60437	3.66105	62.89527	2588vsvmacs2_peak_4
NC_002516.2	923831	924132	302	924002	200.00	45.08193	3.26273	41.47790	2588vsvmacs2_peak_5
NC_002516.2	1330020	1330179	160	1330110	113.00	10.27124	1.93287	7.11988	2588vsvmacs2_peak_6
NC_002516.2	1382625	1382887	263	1382752	195.00	40.16177	3.05901	36.59560	2588vsvmacs2_peak_7
NC_002516.2	1445768	1445963	196	1445852	159.00	27.53647	2.71280	24.06243	2588vsvmacs2_peak_8
NC_002516.2	1861196	1861348	153	1861247	135.00	17.70075	2.30588	14.34289	2588vsvmacs2_peak_9
NC_002516.2	2927669	2929617	1949	2928320	294.00	107.03395	5.00172	100.23707	2588vsvmacs2_peak_10
NC_002516.2	2952997	2953241	245	2953130	202.00	48.90325	3.44186	45.27516	2588vsvmacs2_peak_11
NC_002516.2	2954372	2954549	178	2954464	137.00	11.39752	1.88489	8.19070	2588vsvmacs2_peak_12
NC_002516.2	3188894	3189101	208	3189005	143.00	10.93935	1.82977	7.75345	2588vsvmacs2_peak_13
NC_002516.2	3793338	3793537	200	3793428	160.00	27.47064	2.69934	23.99825	2588vsvmacs2_peak_14
NC_002516.2	4293325	4293523	199	4293429	129.00	12.74989	2.01600	9.49296	2588vsvmacs2_peak_15
NC_002516.2	4472334	4472527	194	4472443	122.00	13.11058	2.08546	9.84326	2588vsvmacs2_peak_16
NC_002516.2	4570532	4570817	286	4570689	165.00	21.06646	2.29599	17.65661	2588vsvmacs2_peak_17
NC_002516.2	4808408	4808609	202	4808515	150.00	21.20756	2.41033	17.79360	2588vsvmacs2_peak_18
NC_002516.2	5051871	5052044	174	5051920	101.00	6.95600	1.72941	4.02982	2588vsvmacs2_peak_19
NC_002516.2	5085492	5085754	263	5085644	168.00	14.77748	1.94420	11.46604	2588vsvmacs2_peak_20
NC_002516.2	5197615	5197785	171	5197715	126.00	11.99937	1.98212	8.76869	2588vsvmacs2_peak_21
NC_002516.2	5358828	5358981	154	5358887	122.00	9.34263	1.81605	6.24368	2588vsvmacs2_peak_22
NC_002516.2	5387133	5387313	181	5387134	112.00	5.74255	1.58295	2.96578	2588vsvmacs2_peak_23
NC_002516.2	5392869	5393065	197	5392989	111.00	7.14488	1.69952	4.20322	2588vsvmacs2_peak_24
NC_002516.2	5759902	5760056	155	5759970	130.00	10.48915	1.85806	7.32645	2588vsvmacs2_peak_25
NC_002516.2	5795706	5795866	161	5795774	175.00	22.69943	2.31992	19.27028	2588vsvmacs2_peak_26
NC_002516.2	5953822	5954016	195	5953919	138.00	14.83586	2.09889	11.52200	2588vsvmacs2_peak_27
NC_002516.2	5995963	5996118	156	5996013	139.00	11.23830	1.86562	8.03769	2588vsvmacs2_peak_28
