# This file is generated by MACS version 2.0.10.20130915 (tag:beta)
# Command line: callpeak -t vfr1vsv/accepted_hits.bam -c ck1vsv/accepted_hits.bam -f BAM -g 6400000 --nomodel --shiftsize=75 -n vfrvsvmacs2 -p 1e-5
# ARGUMENTS LIST:
# name = vfrvsvmacs2
# format = BAM
# ChIP-seq file = ['vfr1vsv/accepted_hits.bam']
# control file = ['ck1vsv/accepted_hits.bam']
# effective genome size = 6.40e+06
# band width = 300
# model fold = [5, 50]
# pvalue cutoff = 1.00e-05
# qvalue will not be calculated and reported as -1 in the final output.
# Larger dataset will be scaled towards smaller dataset.
# Range for calculating regional lambda is: 1000 bps and 10000 bps
# Broad region calling is off

# tag size is determined as 52 bps
# total tags in treatment: 3829539
# tags after filtering in treatment: 3064186
# maximum duplicate tags at the same position in treatment = 1
# Redundant rate in treatment: 0.20
# total tags in control: 3270839
# tags after filtering in control: 2706270
# maximum duplicate tags at the same position in control = 1
# Redundant rate in control: 0.17
# d = 150
chr	start	end	length	abs_summit	pileup	-log10(pvalue)	fold_enrichment	-log10(qvalue)	name
NC_002516.2	50474	50692	219	50553	215.50	25.27013	2.23195	22.27176	vfrvsvmacs2_peak_1
NC_002516.2	52288	52499	212	52419	178.41	26.83728	2.52027	23.77878	vfrvsvmacs2_peak_2
NC_002516.2	115152	115334	183	115249	231.40	26.04497	2.19242	23.01443	vfrvsvmacs2_peak_3
NC_002516.2	221478	221691	214	221581	187.24	18.84060	2.06854	16.07943	vfrvsvmacs2_peak_4
NC_002516.2	274818	274987	170	274875	154.56	10.14713	1.74785	7.73421	vfrvsvmacs2_peak_5
NC_002516.2	325455	325739	285	325601	247.29	53.04948	3.17918	49.09459	vfrvsvmacs2_peak_6
NC_002516.2	332822	333014	193	332907	234.05	14.03928	1.71567	11.45957	vfrvsvmacs2_peak_7
NC_002516.2	336376	336565	190	336471	176.64	22.90528	2.33275	19.99053	vfrvsvmacs2_peak_8
NC_002516.2	368068	368240	173	368231	140.43	5.20820	1.47321	3.18240	vfrvsvmacs2_peak_9
NC_002516.2	389019	389257	239	389136	231.40	52.82003	3.31995	48.87441	vfrvsvmacs2_peak_10
NC_002516.2	402484	402701	218	402591	249.94	26.00430	2.12664	22.97517	vfrvsvmacs2_peak_11
NC_002516.2	437574	437749	176	437660	181.05	19.31201	2.11692	16.53454	vfrvsvmacs2_peak_12
NC_002516.2	439041	439424	384	439127	212.85	29.16059	2.41775	26.02353	vfrvsvmacs2_peak_13
NC_002516.2	509704	509976	273	509812	203.13	30.65943	2.53112	27.48123	vfrvsvmacs2_peak_14
NC_002516.2	529933	530133	201	530033	206.67	35.88522	2.75970	32.52988	vfrvsvmacs2_peak_15
NC_002516.2	613315	613470	156	613376	146.61	15.20286	2.08327	12.57624	vfrvsvmacs2_peak_16
NC_002516.2	620543	620694	152	620610	150.14	16.78835	2.14814	14.10293	vfrvsvmacs2_peak_17
NC_002516.2	628221	628497	277	628335	225.21	46.80103	3.09883	43.15121	vfrvsvmacs2_peak_18
NC_002516.2	663306	663507	202	663417	184.59	26.75857	2.47615	23.70213	vfrvsvmacs2_peak_19
NC_002516.2	683355	683515	161	683444	167.81	17.91210	2.12469	15.18132	vfrvsvmacs2_peak_20
NC_002516.2	701710	701879	170	701790	164.27	24.72244	2.51005	21.74425	vfrvsvmacs2_peak_21
NC_002516.2	706046	706975	930	706203	264.96	51.43891	2.98829	47.57703	vfrvsvmacs2_peak_22
NC_002516.2	713124	713364	241	713247	254.36	53.81839	3.15259	49.80077	vfrvsvmacs2_peak_23
NC_002516.2	716289	716507	219	716414	210.20	18.74550	1.97383	15.98629	vfrvsvmacs2_peak_24
NC_002516.2	732381	732639	259	732441	112.17	5.84830	1.59388	3.74928	vfrvsvmacs2_peak_25
NC_002516.2	734876	735080	205	734969	149.26	19.72590	2.33220	16.93145	vfrvsvmacs2_peak_26
NC_002516.2	784011	784181	171	784116	235.81	22.89615	2.05924	19.98185	vfrvsvmacs2_peak_27
NC_002516.2	792735	792907	173	792848	225.21	16.96608	1.85422	14.27331	vfrvsvmacs2_peak_28
